,InstrumentID,days,InstrumentDisplayName,Symbol
393,2021,54.0,Sky PLC,SKY
394,2022,45.0,BT Group,BT
395,2023,49.0,Coca Cola Hellenic,CCH
396,2024,24.0,Carnival,CCL
397,2025,63.0,Centrica,CNA
398,2026,25.0,Compass Group,CPG
399,2027,17.0,Capita,CPI
400,2029,35.0,Diageo,DGE
401,2030,25.0,Experian,EXPN
402,2031,46.0,easyJet,EZJ
403,2032,37.0,Fresnillo,FRES
404,2033,48.0,G4S,GFS
405,2034,58.0,GKN,GKN
406,2035,20.0,Glencore Plc,GLEN
407,2036,26.0,GlaxoSmithKline,GSK
408,2037,20.0,Hargreaves Lansdown,HL
409,2038,45.0,Hammerson,HMSO
410,2040,20.0,International Consolidated Airlines,IAG
411,2042,19.0,IMI,IMI
412,2043,24.0,Imperial Brands PLC,IMB
413,2044,42.0,Intertek Group,ITRK
414,2045,39.0,ITV,ITV
415,2046,54.0,Johnson Matthey,JMAT
416,2047,32.0,Kingfisher,KGF
417,2048,8.0,Land Securities,LAND
418,2049,17.0,Legal & General,LGEN
419,2050,31.0,Lloyd's,LLOY
420,2051,71.0,London Stock Exchange,LSE
421,2052,15.0,Meggitt,MGGT
422,2053,48.0,Marks & Spencer,MKS
423,2054,28.0,Mondi,MNDI
424,2055,27.0,Melrose Industries,MRO
425,2056,55.0,Morrisons,MRW
426,2057,17.0,National Grid,NG
427,2058,28.0,Next,NXT
428,2059,60.0,Old Mutual,OML
429,2060,47.0,Petrofac,PFC
430,2061,23.0,Prudential,PRU
431,2062,29.0,Persimmon,PSN
432,2063,44.0,Pearson,PSON
433,2064,20.0,Reckitt Benckiser,RB
434,2065,18.0,Royal Bank of Scotland,RBS
435,2068,40.0,RELX PLC,REL
436,2069,30.0,REXAM,REX
437,2070,49.0,Rio Tinto,RIO
438,2071,15.0,Royal Mail,RMG
439,2072,17.0,Rolls-Royce,RR
440,2073,60.0,Randgold Resources,RRS
441,2074,47.0,RSA Insurance,RSA
442,2075,20.0,Resolution,RSL
443,2076,14.0,SABMiller,SAB
444,2077,17.0,Sainsbury (J),SBRY
445,2078,26.0,Schroders,SDR
446,2080,35.0,Shire,SHP
447,2081,43.0,Standard Life Aberdeen PLC,SLA
448,2082,46.0,Smiths Group,SMIN
449,2083,91.0,Smith & Nephew,SN
450,2084,41.0,Frasers Group, FRAS
451,2085,52.0,SSE,SSE
452,2086,21.0,Standard Chartered,STAN
453,2087,30.0,Severn Trent,SVT
454,2088,50.0,Tate & Lyle,TATE
455,2089,53.0,Tullow Oil,TLW
456,2090,21.0,Travis Perkins,TPK
457,2091,59.0,Tesco,TSCO
458,2092,8.0,TUI Travel,TT
459,2093,37.0,Unilever,ULVR
460,2094,22.0,United Utilities,UU
461,2096,48.0,Weir Group,WEIR
462,2097,41.0,William Hill,WMH
463,2098,19.0,Ferguson PLC,FERG
464,2099,22.0,WPP,WPP
465,2100,25.0,Whitbread,WTB
466,2101,57.0,Daily Mail plc,DMGT
467,3000,6.0,SPDR S&P 500 ETF,SPY
468,3001,4.0,Emrg Mkts Index MSCI Ishares,EEM
469,3002,5.0,Gold Miners ETF VanEck Vectors,GDX
470,3003,5.0,Ishares MSCI JAPAN ETF,EWJ
471,3004,6.0,Financial Select Sector SPDR,XLF
472,3005,6.0,Ishares Russell 2000 ETF,IWM
473,3006,5.0,Powershares QQQ,QQQ
474,3007,6.0,United Stated Oil Fund,USO
475,3008,6.0,Energy Select Sector SPDR,XLE
476,3009,8.0,EAFE Index MSCI Ishares,EFA
477,3010,9.0,FTSE China 25 Index Fund Ishares,FXI
478,3011,6.0,Russia ETF VanEck Vectors,RSX
479,3012,5.0,Brazil Index MSCI Ishares,EWZ
480,3013,9.0,Utilities Select Sector SPDR,XLU
481,3014,7.0,Junior Gold Miners ETF VanEck Vectors,GDXJ
482,3015,7.0,DJ US Real Estate Ishares,IYR
483,3016,6.0,SPDR S&P Oil & Gas Exploration & Prod,XOP
484,3017,10.0,Healthcare Select Sector SPDR,XLV
485,3018,5.0,US Natural Gas,UNG
486,3019,7.0,Industrial Select Sector SPDR,XLI
487,3020,6.0,20+ Year Trsy Bond Ishares,TLT
488,3021,10.0,Technology Select Sector SPDR,XLK
489,3022,6.0,Consumer Staples Select Sector SPDR,XLP
490,3023,5.0,Iboxx $ High Yield Corporate Bd Ishares,HYG
491,3024,11.0,Consumer Discret Select Sector SPDR,XLY
492,3025,7.0,SPDR Gold,GLD
493,3026,7.0,SPDR DOW 30 ETF,DIA
494,3027,4.0,Proshares Ultra S&P 500 ,SSO
495,3028,6.0,Ishares Nasdaq Biotechnology ,IBB
496,3029,8.0,SPDR S&P Midcap 400,MDY
497,100000,69.0,Bitcoin,BTC
