InstrumentID,InstrumentDisplayName,Exchange,Symbol,ISINCode,ISINCountryCode,
1238,BNP Paribas SA,Euronext Paris,BNP,FR0000131104,FR,
1239,Carrefour SA,Euronext Paris,CA,FR0000120172,FR,
1240,Cap Gemini S.A.,Euronext Paris,CAP,FR0000125338,FR,
1241,AXA Group,Euronext Paris,CS,FR0000120628,FR,
1242,Vinci S.A,Euronext Paris,DG,FR0000125486,FR,
1243,Electricite de France SA,Euronext Paris,EDF,FR0010242511,FR,
1244,Essilor International SA,Euronext Paris,EL,FR0000121667,FR,
1245,Bouygues SA,Euronext Paris,EN,FR0000120503,FR,
1246,TOTAL S.A.,Euronext Paris,FP,FR0000120271,FR,
1247,Valeo SA,Euronext Paris,FR,FR0013176526,FR,
1248,Societe Generale Group,Euronext Paris,GLE,FR0000130809,FR,
1249,Engie SA,Euronext Paris,ENGI,FR0010208488,FR,
1250,Kering SA,Euronext Paris,KER,FR0000121485,FR,
1251,Lafarge S.A.,Euronext Paris,LG,FR0000120537,FR,
1252,Legrand SA,Euronext Paris,LR,FR0010307819,FR,
1253,LVMH Moet Hennessy Louis Vuitton SA,Euronext Paris,MC,FR0000121014,FR,
1254,Compagnie Generale DES Etablissements Michelin SCA,Euronext Paris,ML,FR0000121261,FR,
1255,ArcelorMittal,Bolsa De Madrid,MTS,LU1598757687,FR,
1256,LOreal SA,Euronext Paris,OR,FR0000120321,FR,
1257,Orange,Euronext Paris,ORA,FR0000133308,FR,
1258,PUB,Euronext Paris,PUB,FR0000130577,FR,
1259,Pernod-Ricard SA,Euronext Paris,RI,FR0000120693,FR,
1260,Renault ,Euronext Paris,RNO,FR0000131906,FR,
1261,SAF,Euronext Paris,SAF,FR0000073272,FR,
1262,Sanofi,Euronext Paris,SAN,FR0000120578,FR,
1263,Compagnie de Saint-Gobain S.A.,Euronext Paris,SGO,FR0000125007,FR,
1264,SOLVAY,Euronext Paris,SOLB,BE0003470755,FR,
1265,Schneider Electric SE,Euronext Paris,SU,FR0000121972,FR,
1266,Technip SA,Euronext Paris,TEC,FR0000131708,FR,
1267,Peugeot S.A.,Euronext Paris,UG,FR0000121501,FR,
1268,Unibail Rodamco,Euronext Paris,UL,FR0013326246,FR,
1269,Veolia Environnement S.A.,Euronext Paris,VIE,FR0000124141,FR,
1270,Vivendi,Euronext Paris,VIV.PA,FR0000127771,FR,
1271,A2A Group,Borsa Italiana,A2A,IT0001233417,IT,
1272,Autogrill,Borsa Italiana,AGL,IT0001137345,IT,
1273,Atlantia Develops,Borsa Italiana,ATL,IT0003506190,IT,
1274,Azimut Holding,Borsa Italiana,AZM,IT0003261697,IT,
1275,Montepaschi Banking Groups,Borsa Italiana,BMPS,IT0005092165,IT,
1276,Banco Popolare SC,Borsa Italiana,BP,IT0005002883,IT,
1277,BPER Banca,Borsa Italiana,BPE,IT0000066123,IT,
1278,Buzzi Unicem Group,Borsa Italiana,BZU,IT0001347308,IT,
1279,CNH Industrial Group,Borsa Italiana,CNHI,NL0010545661,IT,
