StockId,week1,weeks2,weeks3,weeks4,weeks5,weeks6
2046,0.615384615,0.230769231,0.038461538,0.038461538,0.038461538,0.038461538
2047,0.631578947,0.210526316,0.052631579,0.052631579,0.052631579,0
2048,0.602564103,0.156695157,0.017094017,0.012820513,0.209401709,0.001424501
2049,0.23902439,0.497560976,0.019512195,0.009756098,0.234146341,0
2050,0.455773126,0.277515192,0.022282242,0.017555706,0.226198515,0.000675219
2051,0.621761658,0.300518135,0.010362694,0,0.062176166,0.005181347
2052,0.5,0,0,0,0.5,0
2053,0.308907563,0.343865546,0.020504202,0.00907563,0.317647059,0
2054,0.418604651,0.325581395,0.023255814,0.186046512,0.046511628,0
2055,0.9375,0,0,0,0.0625,0
2056,0.833333333,0.111111111,0.055555556,0,0,0
2057,0.161512027,0.529209622,0.017182131,0.006872852,0.285223368,0
2058,0.625,0.145833333,0,0,0.229166667,0
2060,0.738888889,0.252777778,0.001388889,0.002777778,0.002777778,0.001388889
2061,0.35042735,0.444444444,0.008547009,0.008547009,0.179487179,0.008547009
2062,0.328723062,0.342232229,0.007719524,0.00707623,0.313927308,0.000321647
2063,0.653846154,0.192307692,0.115384615,0,0,0.038461538
2064,0.408278146,0.145364238,0.082119205,0.257284768,0.105960265,0.000993377
2065,0.486842105,0.246052632,0.030263158,0.010526316,0.225,0.001315789
2068,0.307692308,0.384615385,0.076923077,0.076923077,0.076923077,0.076923077
2070,0.444269871,0.248428835,0.008595194,0.009149723,0.289186691,0.000369686
2071,0.58,0.219417476,0.005436893,0.003495146,0.191456311,0.000194175
2072,0.615384615,0.197802198,0.120879121,0,0.065934066,0
2073,1,0,0,0,0,0
2074,0.6,0.2,0,0,0.2,0
2077,0.422535211,0.338028169,0.126760563,0.042253521,0.070422535,0
2078,1,0,0,0,0,0
2080,0.839122486,0.160877514,0,0,0,0
2081,0.298136646,0.465838509,0.01863354,0.01863354,0.198757764,0
2082,0.666666667,0.333333333,0,0,0,0
2083,0.279503106,0.49068323,0.00621118,0.00621118,0.217391304,0
2084,0.586206897,0.344827586,0.034482759,0,0.034482759,0
2085,0.658536585,0.146341463,0,0.024390244,0.170731707,0
2086,0.647058824,0.254901961,0,0.009803922,0.088235294,0
2087,0.509677419,0.192473118,0.005376344,0.007526882,0.283870968,0.001075269
2088,0.583333333,0.166666667,0,0,0.25,0
2089,0.554621849,0.210084034,0.016806723,0.033613445,0.18487395,0
2090,0.142857143,0.857142857,0,0,0,0
2091,0.366893039,0.317996604,0.008828523,0.009168081,0.296604414,0.000509338
2093,0.375714286,0.378571429,0.025428571,0.01,0.209714286,0.000571429
2094,0.666666667,0.25,0.083333333,0,0,0
2096,0.75,0.125,0,0,0.125,0
2097,0.492537313,0.179104478,0.074626866,0.179104478,0.074626866,0
2098,0.428571429,0.285714286,0.071428571,0,0.214285714,0
2099,0.46798603,0.259022119,0.010477299,0.006984866,0.254365541,0.001164144
2100,0.525,0.275,0.025,0.025,0.15,0
2101,0.913043478,0.086956522,0,0,0,0
2102,0.607142857,0.178571429,0,0.071428571,0.142857143,0
2211,0.935064935,0.045454545,0.006493506,0,0.012987013,0
2212,0.815789474,0.131578947,0.026315789,0.026315789,0,0
2213,0.96031746,0.031746032,0,0,0.007936508,0
2214,0.885714286,0.057142857,0,0,0.057142857,0
2215,0.761403509,0.142105263,0.014035088,0.00877193,0.073684211,0
2216,0.5,0.25,0.25,0,0,0
2217,0.915492958,0.070422535,0,0.007042254,0.007042254,0
2218,0.519230769,0.221153846,0.019230769,0.009615385,0.230769231,0
2219,0.637931034,0.103448276,0.034482759,0.137931034,0.086206897,0
2220,0.684210526,0.265350877,0.035087719,0.00877193,0.006578947,0
2222,1,0,0,0,0,0
2223,0.903654485,0.066445183,0.013289037,0.003322259,0.013289037,0
2224,0.913294798,0.052023121,0.01734104,0,0.01734104,0
2226,0.75,0,0.25,0,0,0
2227,0.833333333,0,0.083333333,0.083333333,0,0
2228,1,0,0,0,0,0
2229,1,0,0,0,0,0
2230,0.888888889,0.055555556,0,0.055555556,0,0
2231,0.678571429,0.107142857,0.089285714,0.017857143,0.107142857,0
2232,0.932330827,0.022556391,0.015037594,0.007518797,0.022556391,0
2233,0.935251799,0.028776978,0.007194245,0.007194245,0.014388489,0.007194245
2234,0.664310954,0.16254417,0.102473498,0.007067138,0.06360424,0
2236,0.760204082,0.112244898,0.112244898,0.005102041,0.010204082,0
2237,0.32729805,0.344359331,0.006615599,0.006267409,0.31545961,0
2239,0.5,0,0,0.5,0,0
2240,0.421052632,0.263157895,0.231578947,0.010526316,0.073684211,0
2241,1,0,0,0,0,0
2242,0.798994975,0.060301508,0,0,0.140703518,0
2243,0.927007299,0.02189781,0,0.02189781,0.02919708,0
2244,0.929104478,0.029850746,0.01119403,0,0.029850746,0
2246,0.941176471,0,0,0,0.058823529,0
2248,1,0,0,0,0,0
2249,1,0,0,0,0,0
2250,0.991596639,0,0.004201681,0,0.004201681,0
2251,0.978571429,0.014285714,0.007142857,0,0,0
2253,0.974789916,0.008403361,0,0,0.016806723,0
2254,0.945578231,0.034013605,0.013605442,0,0.006802721,0
2256,0.966666667,0.008333333,0.008333333,0,0.016666667,0
2257,0.995798319,0.004201681,0,0,0,0
2258,0.995762712,0.004237288,0,0,0,0
2260,0.728434505,0.041533546,0.015974441,0.011182109,0.201277955,0.001597444
2261,0.886967015,0.017699115,0.010860821,0.003620274,0.08004827,0.000804505
2262,0.613636364,0.25,0,0,0.136363636,0
2263,0.68115942,0.188405797,0.028985507,0.043478261,0.057971014,0
2264,0.5,0.428571429,0.035714286,0,0.035714286,0
2265,0.855319149,0.046808511,0.034042553,0.034042553,0.029787234,0
2266,0.375,0.25,0.25,0.125,0,0
2267,0.794117647,0.088235294,0.029411765,0.058823529,0.029411765,0
2268,0.692307692,0.153846154,0,0.076923077,0.076923077,0
2269,0.428571429,0.285714286,0,0.142857143,0.142857143,0
2270,0.620689655,0.034482759,0.034482759,0.137931034,0.172413793,0
2271,0.826086957,0.086956522,0.043478261,0.043478261,0,0
2272,0.653846154,0.153846154,0.038461538,0.115384615,0,0.038461538
2274,0.7,0.05,0.05,0.15,0.05,0
2278,0.506666667,0.32,0.013333333,0.026666667,0.133333333,0
2280,0.375,0.5,0,0,0.125,0
2281,0.307692308,0.461538462,0,0.076923077,0.153846154,0
2282,0.23699648,0.449745796,0.097379742,0.073914744,0.141963238,0
2283,0.725255973,0.035836177,0.015358362,0.011945392,0.208191126,0.003412969
2284,0.44,0.24,0.08,0.12,0.08,0.04
2285,0.5,0.166666667,0.333333333,0,0,0
2286,0.571428571,0.428571429,0,0,0,0
2287,0.291786744,0.3620317,0.005763689,0.006123919,0.334293948,0
2300,0.631578947,0.157894737,0,0.105263158,0.105263158,0
2301,0.512820513,0.230769231,0.102564103,0.051282051,0.102564103,0
2302,0.132231405,0.743801653,0.099173554,0,0.024793388,0
2303,0.555555556,0.166666667,0.166666667,0.055555556,0.055555556,0
2304,0.820512821,0.128205128,0.051282051,0,0,0
2305,0.5,0.357142857,0.071428571,0,0.071428571,0
2306,0.357142857,0.185714286,0.071428571,0.357142857,0.028571429,0
2307,0.72,0.2,0.04,0,0.04,0
2308,1,0,0,0,0,0
2309,0.833333333,0.083333333,0,0,0.083333333,0
2310,0.818181818,0.181818182,0,0,0,0
2311,0.6,0,0.3,0,0.1,0
